id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
100,13,FZB42,control,16.007038,9.702891,0.5938598,0.17446525,43,3.5133355,1.1770879,122.0768572,138.0838952,0.044081801,Exp1
101,13,FZB42,control,20.368685,12.054603,0.67218524,0.18187924,30,1.8375455,3.376278,81.56165769,101.9303427,0.066300714,Exp1
102,13,FZB42,control,19.133738,9.978136,0.5500107,0.13910636,25,2.5258212,1.2929265,106.945679,126.079417,0.053909782,Exp1
103,13,FZB42,control,16.839642,10.522173,0.6265548,0.18531102,86,5.5503573,1.524467,184.3707626,201.2104046,0.044472054,Exp1
104,13,FZB42,control,12.570649,8.8063135,0.6022148,0.22132072,54,4.6152005,0.57609004,104.9972093,117.5678583,0.045263019,Exp1
105,14,FZB42,1.00E+04,12.698984,3.7849734,0.10484967,0.08502194,69,5.476981,0.5238638,98.54953808,111.2485221,0.031630771,Exp1
106,14,FZB42,1.00E+04,14.355506,3.690443,0.089142345,0.0724691,71,6.728004,0.5371774,107.8189155,122.1744215,0.028091404,Exp1
107,14,FZB42,1.00E+04,9.449117,2.9914324,0.08912325,0.08950556,26,3.611357,1.9764466,32.01621284,41.46532984,0.040526188,Exp1
108,14,FZB42,1.00E+04,10.774947,2.8068233,0.07065232,0.0714551,31,4.480567,0.41324922,38.66856637,49.44351337,0.03154784,Exp1
109,14,FZB42,1.00E+04,10.428758,2.7844076,0.07109747,0.07480821,57,8.47082,0.6370724,80.41062747,90.83938547,0.029329908,Exp1
110,14,FZB42,1.00E+04,5.560148,1.6373601,0.052320138,0.07601989,39,10.664294,0.4001159,50.61364902,56.17379702,0.030821101,Exp1
111,14,FZB42,1.00E+04,14.207214,3.5261688,0.09071286,0.065721154,70,5.2856684,1.9703434,79.81379376,94.02100776,0.027967133,Exp1
112,14,FZB42,1.00E+04,11.97374,3.323245,0.09443327,0.07810512,65,6.743124,0.3921472,90.94065436,102.9143944,0.03255665,Exp1
113,15,FZB42,1.00E+05,16.157665,8.225691,0.42828238,0.14159876,41,3.7194972,2.189171,109.8556938,126.0133588,0.040730564,Exp1
114,15,FZB42,1.00E+05,14.063328,10.333231,0.70249325,0.2173417,51,3.7451665,1.4214128,137.3023079,151.3656359,0.047531155,Exp1
115,15,FZB42,1.00E+05,19.691444,11.218533,0.5671508,0.16137458,62,4.869043,1.090349,117.6410263,137.3324703,0.047437255,Exp1
116,15,FZB42,1.00E+05,25.393087,13.594776,0.70730376,0.15761462,58,3.9807692,1.5891014,142.9190561,168.3121431,0.040778328,Exp1
117,15,FZB42,1.00E+05,26.371069,15.500209,0.8818509,0.16598955,67,3.250823,1.5607573,153.7745972,180.1456662,0.044386724,Exp1
118,15,FZB42,1.00E+05,22.905752,13.0001745,0.71539134,0.1640478,50,6.2928257,0.9255232,98.57759375,121.4833458,0.040009406,Exp1
119,15,FZB42,1.00E+05,18.969551,11.050904,0.6454373,0.16935557,54,4.5324125,0.82763934,112.1879915,131.1575425,0.038948868,Exp1
120,15,FZB42,1.00E+05,20.993849,11.242987,0.70595765,0.1295641,50,2.9851868,1.1531279,149.0330712,170.0269202,0.042538565,Exp1
121,16,FZB42,1.00E+06,23.512562,11.780701,0.6083303,0.13397887,83,4.1036596,0.84723055,247.7096044,271.2221664,0.048470962,Exp1
122,16,FZB42,1.00E+06,23.720142,13.563476,0.7595215,0.1557138,48,6.4502783,1.7195388,98.34568822,122.0658302,0.049178237,Exp1
123,16,FZB42,1.00E+06,22.180923,12.654484,0.6779019,0.16427684,49,4.610546,2.2862306,123.9702962,146.1512192,0.042207932,Exp1
124,16,FZB42,1.00E+06,18.332018,11.365785,0.69298357,0.17178082,47,2.9985766,2.1196117,137.9532083,156.2852263,0.041550382,Exp1
125,16,FZB42,1.00E+06,21.087261,11.034455,0.5775453,0.13856421,55,4.145303,0.6906028,122.3155041,143.4027651,0.047767885,Exp1
126,16,FZB42,1.00E+06,31.99588,18.78536,1.0830824,0.1621766,34,1.9115262,1.5552068,88.40679582,120.4026758,0.059420028,Exp1
127,16,FZB42,1.00E+06,29.66967,14.909322,0.7648889,0.121886805,36,1.9366674,0.8589663,103.5899905,133.2596605,0.057044587,Exp1
128,16,FZB42,1.00E+06,17.809229,11.053885,0.6675945,0.18338913,56,3.796837,1.3583688,136.1305847,153.9398137,0.044961241,Exp1
129,17,FZB42,1.00E+07,27.383984,14.661979,0.73459315,0.1554116,61,3.7856064,1.0698136,185.5445746,212.9285586,0.044727848,Exp1
130,17,FZB42,1.00E+07,10.225034,6.615359,0.37478974,0.19871818,35,8.0938835,0.7941231,98.596358,108.821392,0.050654463,Exp1
